seed,fold,variant,macro_f1,accuracy,feature_count,exact_vocabulary_size
42,1,exact_event_EB,0.5602599334395925,0.5769540692989524,8204,183895
42,1,exact_event_EB_confidence,0.5565293360892658,0.5705076551168412,8438,183895
42,2,exact_event_EB,0.5671978202861541,0.589516129032258,8247,180349
42,2,exact_event_EB_confidence,0.5539684156310464,0.5782258064516129,8481,180349
42,3,exact_event_EB,0.5606027974784871,0.5782258064516129,8213,180745
42,3,exact_event_EB_confidence,0.5492061814981446,0.5790322580645161,8447,180745
42,4,exact_event_EB,0.5655321665493471,0.5830645161290322,8293,190931
42,4,exact_event_EB_confidence,0.5649129363160831,0.589516129032258,8527,190931
42,5,exact_event_EB,0.5959704468727651,0.5967741935483871,8269,184441
42,5,exact_event_EB_confidence,0.5603624388430986,0.5806451612903226,8503,184441
